Date,Mkt-RF,SMB,HML,RF
"January 6, 2012",0.017,-0.0058,0.0085,0
"January 13, 2012",0.0118,0.0087,0.0016,0
"January 20, 2012",0.0213,0.006,-0.0017,0
"January 27, 2012",0.0033,0.0181,-0.0171,0
"February 3, 2012",0.025,0.0162,0.0039,1.00E-05
"February 10, 2012",-0.0023,-0.0161,-0.0038,1.00E-05
"February 17, 2012",0.016,0.0033,0.0036,1.00E-05
"February 24, 2012",0.0026,-0.0056,-0.0102,1.00E-05
"March 2, 2012",0.0005,-0.0336,0.0043,1.00E-05
"March 9, 2012",0.0032,0.0166,0.0008,1.00E-05
"March 16, 2012",0.0229,-0.0075,0.0153,1.00E-05
"March 23, 2012",-0.0044,0.0062,-0.0032,1.00E-05
"March 30, 2012",0.0074,-0.0066,-0.0039,1.00E-05
"April 5, 2012",-0.0071,-0.0064,-0.0068,1.00E-05
"April 13, 2012",-0.0205,-0.0019,-0.0013,1.00E-05
"April 20, 2012",0.0056,0.0018,0.0042,1.00E-05
"April 27, 2012",0.0187,0.0067,-0.0007,1.00E-05
"May 4, 2012",-0.0268,-0.0159,0.0014,2.00E-05
"May 11, 2012",-0.0099,0.0082,0.002,2.00E-05
"May 18, 2012",-0.0447,-0.0048,-0.0013,2.00E-05
"May 25, 2012",0.0195,0.0051,-0.0106,2.00E-05
"June 1, 2012",-0.0315,-0.005,0.005,1.00E-05
"June 8, 2012",0.0373,0.0016,-0.0017,1.00E-05
"June 15, 2012",0.0107,-0.0104,0.0066,1.00E-05
"June 22, 2012",-0.0035,0.0117,-0.0019,1.00E-05
"June 29, 2012",0.021,0.0089,0.0003,1.00E-05
"July 6, 2012",-0.0026,0.0155,-0.0047,1.00E-05
"July 13, 2012",-0.0005,-0.0118,0.0053,1.00E-05
"July 20, 2012",0.0026,-0.0132,-0.0163,1.00E-05
"July 27, 2012",0.0145,-0.0126,0.0085,1.00E-05
"August 3, 2012",0.0017,-0.0125,0.0099,1.00E-05
"August 10, 2012",0.0137,0.0071,0.0088,1.00E-05
"August 17, 2012",0.0113,0.012,-0.0018,1.00E-05
"August 24, 2012",-0.0055,-0.0105,0.0022,1.00E-05
"August 31, 2012",-0.0018,0.0042,-0.0009,1.00E-05
"September 7, 2012",0.0255,0.0081,0.0131,2.00E-05
"September 14, 2012",0.0209,0.0062,0.0185,2.00E-05
"September 21, 2012",-0.0048,-0.0026,-0.0114,2.00E-05
"September 28, 2012",-0.0141,-0.0067,-0.0038,2.00E-05
"October 5, 2012",0.0146,-0.0111,0.0147,2.00E-05
"October 12, 2012",-0.0221,-0.0011,0.0056,2.00E-05
"October 19, 2012",0.0026,-0.0123,0.0173,2.00E-05
"October 26, 2012",-0.0137,0.0081,-0.0038,2.00E-05
"November 2, 2012",0.0027,0.001,0.0081,2.00E-05
